title,DOI,original reviewer,new reviewer
An analysis of nonlinearities in term premiums and forward rates,,Olav,Trine
Estimation of Parameters in Mean-Reverting Stochastic Systems,,Olav,Trine
Local lagged adapted generalized method of moments and applications,,Trine,Trine
A dynamic asset allocation approach under technical analysis and machine learning classification,,Ulrik,Trine
Forecasting Key Macroeconomic Variables of the South African Economy using Bayesian Variable Selection,,Ulrik,Trine
"Moments, shocks and spillovers in Markov-switching VAR models",,Ulrik,Trine
Nonparametric long term prediction of stock returns with generated bond yields,,Ulrik,Trine
Positive forward rates in the maximum smoothness framework,,Ulrik,Trine
Revisiting the Dynamic Linkages of Treasury Bond Yields for the BRICS: A Forecasting Analysis,,Ulrik,Trine
